ID,Category,Type,Item,Origin,Destination,Start_Lat,Start_Lon,End_Lat,End_Lon,Departure,Arrival,Status_Detail,Warehouse,Qty
IMP-144,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-07-20 00:00:00,2024-08-13 00:00:00,In Transit,All,32432
IMP-145,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-12-06 00:00:00,2024-12-21 00:00:00,In Transit,All,35951
IMP-146,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-09-17 00:00:00,2024-10-04 00:00:00,In Transit,All,16723
IMP-147,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-04-18 00:00:00,2024-05-06 00:00:00,In Transit,All,41076
IMP-148,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-08-14 00:00:00,2024-09-05 00:00:00,In Transit,All,27531
IMP-149,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-10-24 00:00:00,2024-11-08 00:00:00,In Transit,All,16852
IMP-150,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-09-06 00:00:00,2024-09-24 00:00:00,In Transit,All,18161
IMP-151,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-10-22 00:00:00,2024-11-12 00:00:00,In Transit,All,13754
IMP-152,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-02-08 00:00:00,2024-02-24 00:00:00,In Transit,All,33225
IMP-153,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-04-10 00:00:00,2024-04-28 00:00:00,In Transit,All,43815
IMP-154,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-11-24 00:00:00,2024-12-18 00:00:00,In Transit,All,26677
IMP-155,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-06-04 00:00:00,2024-06-27 00:00:00,In Transit,All,14154
IMP-156,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-06-07 00:00:00,2024-06-24 00:00:00,In Transit,All,43916
IMP-157,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-01-03 00:00:00,2024-01-20 00:00:00,In Transit,All,36753
IMP-158,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-11-20 00:00:00,2024-12-08 00:00:00,In Transit,All,40446
IMP-159,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-04-24 00:00:00,2024-05-13 00:00:00,In Transit,All,31347
IMP-160,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-01-10 00:00:00,2024-01-26 00:00:00,In Transit,All,29696
IMP-161,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-08-21 00:00:00,2024-09-12 00:00:00,In Transit,All,14524
IMP-162,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-03-26 00:00:00,2024-04-16 00:00:00,In Transit,All,28586
IMP-163,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-08-09 00:00:00,2024-09-02 00:00:00,In Transit,All,15537
IMP-164,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-01-12 00:00:00,2024-02-04 00:00:00,In Transit,All,12953
IMP-165,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-01-09 00:00:00,2024-01-31 00:00:00,In Transit,All,35715
IMP-166,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-12-10 00:00:00,2024-12-26 00:00:00,In Transit,All,43273
IMP-167,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-12-16 00:00:00,2025-01-04 00:00:00,In Transit,All,28848
IMP-168,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-08-19 00:00:00,2024-09-03 00:00:00,In Transit,All,26165
IMP-169,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-03-05 00:00:00,2024-03-26 00:00:00,In Transit,All,47734
IMP-170,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-07-08 00:00:00,2024-07-30 00:00:00,In Transit,All,26536
IMP-171,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-04-19 00:00:00,2024-05-04 00:00:00,In Transit,All,15227
IMP-172,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-05-31 00:00:00,2024-06-18 00:00:00,In Transit,All,29368
IMP-173,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-01-19 00:00:00,2024-02-08 00:00:00,In Transit,All,11720
IMP-174,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-02-12 00:00:00,2024-03-05 00:00:00,In Transit,All,43726
IMP-175,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-07-22 00:00:00,2024-08-09 00:00:00,In Transit,All,13233
IMP-176,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-05-02 00:00:00,2024-05-22 00:00:00,In Transit,All,13040
IMP-177,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-07-15 00:00:00,2024-08-06 00:00:00,In Transit,All,31333
IMP-178,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-03-01 00:00:00,2024-03-17 00:00:00,In Transit,All,39440
IMP-179,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-03-30 00:00:00,2024-04-17 00:00:00,In Transit,All,12089
IMP-180,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-06-03 00:00:00,2024-06-26 00:00:00,In Transit,All,18372
IMP-181,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-07-20 00:00:00,2024-08-13 00:00:00,In Transit,All,10096
IMP-182,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-10-20 00:00:00,2024-11-07 00:00:00,In Transit,All,32330
IMP-183,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-06-14 00:00:00,2024-07-05 00:00:00,In Transit,All,25876
IMP-184,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-01-29 00:00:00,2024-02-13 00:00:00,In Transit,All,43804
IMP-185,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-09-08 00:00:00,2024-10-01 00:00:00,In Transit,All,37678
IMP-186,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-10-02 00:00:00,2024-10-24 00:00:00,In Transit,All,32623
IMP-187,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-03-26 00:00:00,2024-04-16 00:00:00,In Transit,All,19664
IMP-188,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-12-24 00:00:00,2025-01-15 00:00:00,In Transit,All,36896
IMP-189,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-03-20 00:00:00,2024-04-06 00:00:00,In Transit,All,35174
IMP-190,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-09-24 00:00:00,2024-10-18 00:00:00,In Transit,All,33473
IMP-191,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-03-21 00:00:00,2024-04-08 00:00:00,In Transit,All,39701
IMP-192,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-12-15 00:00:00,2025-01-01 00:00:00,In Transit,All,15002
IMP-193,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-04-12 00:00:00,2024-05-05 00:00:00,In Transit,All,14852
IMP-194,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-10-03 00:00:00,2024-10-18 00:00:00,In Transit,All,17482
IMP-195,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-05-04 00:00:00,2024-05-19 00:00:00,In Transit,All,18597
IMP-196,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-02-23 00:00:00,2024-03-13 00:00:00,In Transit,All,19546
IMP-197,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-01-14 00:00:00,2024-02-02 00:00:00,In Transit,All,30193
IMP-198,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-04-05 00:00:00,2024-04-29 00:00:00,In Transit,All,31421
IMP-199,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-09-06 00:00:00,2024-09-24 00:00:00,In Transit,All,38320
IMP-200,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-08-14 00:00:00,2024-09-02 00:00:00,In Transit,All,37478
IMP-201,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-05-20 00:00:00,2024-06-11 00:00:00,In Transit,All,15419
IMP-202,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-01-19 00:00:00,2024-02-04 00:00:00,In Transit,All,38335
IMP-203,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-05-08 00:00:00,2024-05-27 00:00:00,In Transit,All,31293
IMP-204,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-05-24 00:00:00,2024-06-16 00:00:00,In Transit,All,33543
IMP-205,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-04-04 00:00:00,2024-04-24 00:00:00,In Transit,All,32180
IMP-206,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-07-01 00:00:00,2024-07-23 00:00:00,In Transit,All,35195
IMP-207,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-09-23 00:00:00,2024-10-09 00:00:00,In Transit,All,11876
IMP-208,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-05-07 00:00:00,2024-05-26 00:00:00,In Transit,All,46525
IMP-209,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-06-11 00:00:00,2024-06-26 00:00:00,In Transit,All,49950
IMP-210,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-09-04 00:00:00,2024-09-23 00:00:00,In Transit,All,41410
IMP-211,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-08-27 00:00:00,2024-09-12 00:00:00,In Transit,All,39219
IMP-212,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-11-07 00:00:00,2024-11-30 00:00:00,In Transit,All,42659
IMP-213,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-12-17 00:00:00,2025-01-08 00:00:00,In Transit,All,17942
IMP-214,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-08-16 00:00:00,2024-08-31 00:00:00,In Transit,All,45153
IMP-215,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-11-09 00:00:00,2024-11-27 00:00:00,In Transit,All,40502
IMP-216,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-04-29 00:00:00,2024-05-16 00:00:00,In Transit,All,38124
IMP-217,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-12-20 00:00:00,2025-01-06 00:00:00,In Transit,All,47051
IMP-218,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-04-01 00:00:00,2024-04-25 00:00:00,In Transit,All,19729
IMP-219,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-05-11 00:00:00,2024-06-01 00:00:00,In Transit,All,20381
IMP-220,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-01-12 00:00:00,2024-02-03 00:00:00,In Transit,All,25949
IMP-221,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-04-20 00:00:00,2024-05-05 00:00:00,In Transit,All,41568
IMP-222,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-01-02 00:00:00,2024-01-24 00:00:00,In Transit,All,46821
IMP-223,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-09-11 00:00:00,2024-09-30 00:00:00,In Transit,All,21066
IMP-224,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-02-11 00:00:00,2024-03-02 00:00:00,In Transit,All,15348
IMP-225,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-11-14 00:00:00,2024-12-05 00:00:00,In Transit,All,12435
IMP-226,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-05-03 00:00:00,2024-05-24 00:00:00,In Transit,All,38403
IMP-227,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-05-11 00:00:00,2024-05-28 00:00:00,In Transit,All,11871
IMP-228,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-03-14 00:00:00,2024-04-01 00:00:00,In Transit,All,34076
IMP-229,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-12-09 00:00:00,2025-01-02 00:00:00,In Transit,All,49127
IMP-230,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-11-28 00:00:00,2024-12-22 00:00:00,In Transit,All,31472
IMP-231,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-02-13 00:00:00,2024-02-28 00:00:00,In Transit,All,22142
IMP-232,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-02-07 00:00:00,2024-03-01 00:00:00,In Transit,All,10916
IMP-233,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-11-30 00:00:00,2024-12-20 00:00:00,In Transit,All,18804
IMP-234,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-10-25 00:00:00,2024-11-09 00:00:00,In Transit,All,44794
IMP-235,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-10-09 00:00:00,2024-10-27 00:00:00,In Transit,All,12141
IMP-236,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-05-02 00:00:00,2024-05-22 00:00:00,In Transit,All,13631
IMP-237,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-02-04 00:00:00,2024-02-22 00:00:00,In Transit,All,15811
IMP-238,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-08-14 00:00:00,2024-08-31 00:00:00,In Transit,All,17000
IMP-239,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-11-26 00:00:00,2024-12-15 00:00:00,In Transit,All,39301
